任务ID,模块,任务名称,任务描述,负责人,工时(天),开始周,结束周,依赖任务,交付物,风险等级
P1,产品设计,竞品分析深度报告,分析AllTrails/两步路/六只脚等竞品功能、优缺点,PM,3,1,1,,竞品分析报告,低
P2,产品设计,用户流程图,绘制核心用户旅程：发现路线→查看详情→下载离线→开始导航→记录分享,PM,2,1,1,P1,用户流程图,低
P3,产品设计,信息架构设计,设计APP信息架构、页面层级、导航结构,PM,2,1,2,P2,信息架构图,低
P4,产品设计,交互原型（低保真）,Figma低保真原型：发现/导航/记录/社区/我的,设计师,5,2,2,P3,低保真原型,中
P5,产品设计,UI视觉设计（高保真）,高保真设计稿：色彩/字体/组件/页面,设计师,5,2,3,P4,高保真设计稿,中
B1,后端开发,技术选型+架构设计,确定技术栈：Node.js/Go、数据库、地图服务,后端工程师,2,2,2,P1,技术架构文档,低
B2,后端开发,数据库设计,设计用户/路线/轨迹/POI表结构,后端工程师,2,2,2,B1,ER图+SQL脚本,低
B3,后端开发,用户系统API,注册/登录/Token/个人中心CRUD,后端工程师,3,2,3,B2,用户API,低
B4,后端开发,路线数据API,路线CRUD/搜索/筛选/排序,后端工程师,4,3,4,B2,路线API,中
B5,后端开发,文件存储服务,图片上传/轨迹文件上传/OSS对接,后端工程师,2,3,3,B1,文件服务,低
B6,后端开发,地图服务对接,高德SDK/Mapbox API对接、坐标转换,后端工程师,3,3,4,B1,地图服务,中
B7,后端开发,后台管理系统,路线管理/用户管理/数据审核后台,后端工程师,5,4,5,B3;B4,后台系统,中
B8,后端开发,API文档+测试,Swagger文档/Postman测试集/单元测试,后端工程师,2,5,5,B3;B4;B5;B6;B7,API文档,低
M1,移动端开发,项目搭建+架构,React Native/Flutter项目初始化、目录结构、路由,移动端工程师,2,3,3,B1,项目框架,低
M2,移动端开发,公共组件库,Button/Input/Card/Map/导航栏等基础组件,移动端工程师,3,3,4,M1,组件库,低
M3-1,移动端开发,登录页面UI,登录页面布局、表单、样式,移动端工程师,0.5,4,4,M2,登录页面,低
M3-2,移动端开发,登录API对接,登录接口对接、Token存储、状态管理,移动端工程师,0.5,4,4,B3;M3-1,登录功能,低
M3-3,移动端开发,注册页面UI,注册页面布局、表单验证,移动端工程师,0.5,4,4,M2,注册页面,低
M3-4,移动端开发,注册API对接,注册接口对接、错误处理,移动端工程师,0.5,4,4,B3;M3-3,注册功能,低
M3-5,移动端开发,个人中心UI,我的页面、个人信息编辑,移动端工程师,1,4,4,M2,个人中心,低
